name,available,base_power,constant_active_power,constant_reactive_power,impedance_active_power,impedance_reactive_power,current_active_power,current_reactive_power,max_constant_active_power,max_constant_reactive_power,max_impedance_active_power,max_impedance_reactive_power,max_current_active_power,max_current_reactive_power
load_78082~PR,true,100.0,48.8,20.8,0.0,0.0,0.0,0.0,48.8,20.8,0.0,0.0,0.0,0.0
load_78086~PR,true,100.0,35.9,15.299999999999999,0.0,0.0,0.0,0.0,35.9,15.299999999999999,0.0,0.0,0.0,0.0
load_78087~TS,true,100.0,15.0,1.8799999999999997,0.0,0.0,0.0,0.0,15.0,1.8799999999999997,0.0,0.0,0.0,0.0
load_78089~PR,true,100.0,24.8,10.6,0.0,0.0,0.0,0.0,24.8,10.6,0.0,0.0,0.0,0.0
load_78091~P4,true,100.0,5.2,1.733,0.0,0.0,0.0,0.0,5.2,1.733,0.0,0.0,0.0,0.0
load_78091~PR,true,100.0,33.1,14.099999999999998,0.0,0.0,0.0,0.0,33.1,14.099999999999998,0.0,0.0,0.0,0.0
load_78092~PR,true,100.0,24.4,10.4,0.0,0.0,0.0,0.0,24.4,10.4,0.0,0.0,0.0,0.0
load_78093~P2,true,100.0,2.307,0.769,0.0,0.0,0.0,0.0,2.307,0.769,0.0,0.0,0.0,0.0
load_78093~PR,true,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_78094~PR,true,100.0,25.7,11.0,0.0,0.0,0.0,0.0,25.7,11.0,0.0,0.0,0.0,0.0
load_78096~PR,true,100.0,6.1,2.6,0.0,0.0,0.0,0.0,6.1,2.6,0.0,0.0,0.0,0.0
load_78098~PR,true,100.0,14.3,6.1,0.0,0.0,0.0,0.0,14.3,6.1,0.0,0.0,0.0,0.0
load_78098~P1,true,100.0,0.757,0.252,0.0,0.0,0.0,0.0,0.757,0.252,0.0,0.0,0.0,0.0
load_78099~PR,true,100.0,46.7,19.9,0.0,0.0,0.0,0.0,46.7,19.9,0.0,0.0,0.0,0.0
load_78099~P2,true,100.0,0.167,0.05600000000000001,0.0,0.0,0.0,0.0,0.167,0.05600000000000001,0.0,0.0,0.0,0.0
